Ticker,Date/Time,Open,High,Low,Close,Volume,ZigZag05,ZigZag10,ZigZag15
S50IF_CONOI,01/08/2019 09:45:00,1122.9000,1123.3000,1121.5000,1121.5000,8934.0000,1109.0476,1101.6364,1097.7919
S50IF_CONOI,01/08/2019 10:00:00,1121.6000,1122.3000,1120.5000,1121.6000,11500.0000,1108.8285,1101.3752,1097.5890
S50IF_CONOI,01/08/2019 10:15:00,1121.8000,1122.6000,1121.3000,1121.5000,4111.0000,1108.6095,1101.1140,1097.3861
S50IF_CONOI,01/08/2019 10:30:00,1121.5000,1121.8000,1121.1000,1121.3000,3553.0000,1108.3905,1100.8529,1097.1831
S50IF_CONOI,01/08/2019 10:45:00,1121.3000,1121.4000,1118.8000,1120.0000,13993.0000,1108.1714,1100.5918,1096.9802
S50IF_CONOI,01/08/2019 11:00:00,1120.0000,1121.2000,1119.7000,1120.4000,6234.0000,1107.9524,1100.3306,1096.7773
S50IF_CONOI,01/08/2019 11:15:00,1120.4000,1120.9000,1120.0000,1120.0000,2331.0000,1107.7333,1100.0695,1096.5745
S50IF_CONOI,01/08/2019 11:30:00,1120.0000,1121.0000,1120.0000,1120.8000,2282.0000,1107.5143,1099.8082,1096.3716
S50IF_CONOI,01/08/2019 11:45:00,1120.8000,1120.9000,1120.0000,1120.0000,1683.0000,1107.2952,1099.5471,1096.1686
S50IF_CONOI,01/08/2019 12:00:00,1120.0000,1120.8000,1119.7000,1120.7000,2553.0000,1107.0762,1099.2860,1095.9657
S50IF_CONOI,01/08/2019 12:15:00,1120.6000,1120.8000,1120.0000,1120.3000,2431.0000,1106.8572,1099.0248,1095.7628
S50IF_CONOI,01/08/2019 14:15:00,1120.3000,1122.3000,1120.3000,1121.2000,5686.0000,1106.6381,1098.7637,1095.5599
S50IF_CONOI,01/08/2019 14:30:00,1121.1000,1121.5000,1120.3000,1120.5000,2706.0000,1106.4191,1098.5024,1095.3569
S50IF_CONOI,01/08/2019 14:45:00,1120.5000,1120.9000,1120.0000,1120.4000,2481.0000,1106.2000,1098.2413,1095.1541
S50IF_CONOI,01/08/2019 15:00:00,1120.5000,1120.7000,1118.9000,1119.5000,9655.0000,1105.9810,1097.9802,1094.9512
S50IF_CONOI,01/08/2019 15:15:00,1119.7000,1120.3000,1118.0000,1118.2000,9103.0000,1105.7618,1097.7190,1094.7483
S50IF_CONOI,01/08/2019 15:30:00,1118.2000,1118.5000,1116.6000,1117.0000,10976.0000,1105.5428,1097.4579,1094.5454
S50IF_CONOI,01/08/2019 15:45:00,1116.9000,1118.2000,1116.8000,1117.6000,6931.0000,1105.3237,1097.1967,1094.3424
S50IF_CONOI,01/08/2019 16:00:00,1117.6000,1119.2000,1117.5000,1119.0000,7614.0000,1105.1047,1096.9355,1094.1395
S50IF_CONOI,01/08/2019 16:15:00,1119.0000,1119.7000,1118.2000,1119.1000,5508.0000,1104.8857,1096.6744,1093.9366
S50IF_CONOI,01/08/2019 16:30:00,1118.9000,1120.3000,1118.7000,1119.5000,6658.0000,1104.6666,1096.4132,1093.7338
S50IF_CONOI,01/08/2019 16:45:00,1119.5000,1120.0000,1119.2000,1119.3000,5096.0000,1104.4476,1096.1521,1093.5309
S50IF_CONOI,02/08/2019 09:45:00,1110.0000,1110.0000,1105.5000,1105.6000,22639.0000,1104.2285,1095.8909,1093.3279
S50IF_CONOI,02/08/2019 10:00:00,1105.5000,1106.9000,1105.2000,1106.0000,13727.0000,1104.0095,1095.6298,1093.1250
S50IF_CONOI,02/08/2019 10:15:00,1106.1000,1106.8000,1105.7000,1106.1000,7979.0000,1103.7904,1095.3687,1092.9221
S50IF_CONOI,02/08/2019 10:30:00,1106.2000,1106.6000,1105.6000,1105.7000,6827.0000,1103.5714,1095.1074,1092.7192
S50IF_CONOI,02/08/2019 10:45:00,1105.7000,1106.7000,1105.0000,1106.7000,8960.0000,1103.3524,1094.8463,1092.5162
S50IF_CONOI,02/08/2019 11:00:00,1106.7000,1106.9000,1105.3000,1105.9000,5769.0000,1103.1333,1094.5851,1092.3134
S50IF_CONOI,02/08/2019 11:15:00,1105.8000,1106.1000,1105.5000,1105.6000,2744.0000,1102.9143,1094.3240,1092.1105
S50IF_CONOI,02/08/2019 11:30:00,1105.5000,1106.2000,1104.9000,1105.5000,5055.0000,1102.6952,1094.0629,1091.9076
S50IF_CONOI,02/08/2019 11:45:00,1105.5000,1105.5000,1104.7000,1105.0000,4934.0000,1102.4762,1093.8016,1091.7047
S50IF_CONOI,02/08/2019 12:00:00,1104.9000,1105.6000,1104.8000,1105.1000,3132.0000,1102.2571,1093.5405,1091.5017
S50IF_CONOI,02/08/2019 12:15:00,1105.1000,1105.4000,1104.1000,1105.0000,6452.0000,1102.0381,1093.2793,1091.2988
S50IF_CONOI,02/08/2019 14:15:00,1105.0000,1105.8000,1102.6000,1103.9000,7158.0000,1101.8190,1093.0182,1091.0959
S50IF_CONOI,02/08/2019 14:30:00,1104.0000,1104.0000,1101.0000,1101.6000,15625.0000,1101.6000,1092.7571,1090.8931
S50IF_CONOI,02/08/2019 14:45:00,1101.6000,1102.7000,1101.5000,1102.1000,7424.0000,1103.0000,1092.4958,1090.6902
S50IF_CONOI,02/08/2019 15:00:00,1102.0000,1104.7000,1101.6000,1104.0000,8403.0000,1104.4000,1092.2347,1090.4872
S50IF_CONOI,02/08/2019 15:15:00,1103.9000,1107.8000,1103.8000,1106.1000,16795.0000,1105.7999,1091.9735,1090.2843
S50IF_CONOI,02/08/2019 15:30:00,1106.0000,1106.7000,1105.3000,1106.6000,6586.0000,1107.2000,1091.7124,1090.0814
S50IF_CONOI,02/08/2019 15:45:00,1106.6000,1109.1000,1106.2000,1108.6000,13317.0000,1108.6000,1091.4513,1089.8785
S50IF_CONOI,02/08/2019 16:00:00,1108.6000,1108.7000,1106.2000,1106.9000,8982.0000,1107.7037,1091.1901,1089.6757
S50IF_CONOI,02/08/2019 16:15:00,1107.0000,1107.2000,1106.1000,1106.5000,5407.0000,1106.8074,1090.9290,1089.4727
S50IF_CONOI,02/08/2019 16:30:00,1106.6000,1109.4000,1106.4000,1108.4000,12326.0000,1105.9111,1090.6678,1089.2698
S50IF_CONOI,02/08/2019 16:45:00,1108.4000,1108.7000,1107.1000,1107.1000,6661.0000,1105.0148,1090.4066,1089.0669
S50IF_CONOI,05/08/2019 09:45:00,1098.6000,1101.3000,1098.0000,1100.8000,16530.0000,1104.1185,1090.1455,1088.8640
S50IF_CONOI,05/08/2019 10:00:00,1100.9000,1105.0000,1100.6000,1101.8000,14772.0000,1103.2222,1089.8843,1088.6610
